"Locale","ASIN","Product Codes: EAN","Image","Title","Brand","Buy Box 🚚: Current","Buy Box 🚚: 90 days avg.","Sales Rank: 90 days avg.","Sales Rank: 90 days drop %","Bought in past month","Buy Box 🚚: 90 days OOS","Buy Box: Is FBA","Buy Box Seller","Sales Rank: 30 days avg.","Buy Box 🚚: 30 days avg.","Buy Box 🚚: 180 days avg.","Buy Box 🚚: 1 day drop %","Buy Box 🚚: 7 days drop %","Buy Box 🚚: 30 days drop %","Buy Box 🚚: 90 days drop %","Buy Box 🚚: Price drop since last visit","Buy Box 🚚: Drop % since last visit","Buy Box 🚚: Last visit","Buy Box 🚚: Lowest","Buy Box 🚚: Is Lowest","Buy Box 🚚: Is Lowest 90 days","Buy Box 🚚: Highest","Buy Box 🚚: Stock","Buy Box 🚚: Availability of the Buy Box","Amazon: Current","Amazon: 90 days avg.","Buy Box: % Amazon 90 days","Amazon: 90 days OOS","Amazon: 30 days avg.","Amazon: 180 days avg.","Amazon: 1 day drop %","Amazon: 7 days drop %","Amazon: 30 days drop %","Amazon: 90 days drop %","Amazon: Price drop since last visit","Amazon: Drop % since last visit","Amazon: Last visit","Amazon: Lowest","Amazon: Is Lowest","Amazon: Is Lowest 90 days","Amazon: Highest","Amazon: Stock","Amazon: OOS Count 30 days","Amazon: OOS Count 90 days","Amazon: Availability of the Amazon offer","Amazon: Amazon offer shipping delay","Buy Box: % Top Seller 90 days","Buy Box: % Amazon 30 days","Buy Box: Winner Count 90 days","Count of retrieved live offers: New, FBA","Count of retrieved live offers: New, FBM","Buy Box: % Amazon 180 days","Buy Box: % Amazon 365 days","Buy Box: % Top Seller 30 days","Buy Box: % Top Seller 180 days","Buy Box: % Top Seller 365 days","Buy Box: Winner Count 30 days","Buy Box: Winner Count 180 days","Buy Box: Winner Count 365 days","New: Current","New: 30 days avg.","New: 90 days avg.","New: 180 days avg.","New: 1 day drop %","New: 7 days drop %","New: 30 days drop %","New: 90 days drop %","New: Price drop since last visit","New: Drop % since last visit","New: Last visit","New: Lowest","New: Is Lowest","New: Is Lowest 90 days","New: Highest","New: 90 days OOS","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","Categories: Root","Categories: Sub","Categories: Tree","Categories: Launchpad","Product Codes: PartNumber","Item: Dimension (cm³)","Item: Weight (g)","Is HazMat"
"it","B000KK1A36","3145891957303","https://m.media-amazon.com/images/I/510jlzZPPzL.jpg;https://m.media-amazon.com/images/I/61gOVxLm9sL.jpg","Chanel INIMITABLE mascara #30-noir brun 6 gr","Chanel","","","","","","-","no","3rd Party (?)","","","","","","","","","","","","no","no","","","","","","-","100 %","","","","","","","","","","","no","no","","","1","1","no Amazon offer exists","","-","-","","","","-","-","-","-","-","","","","","","","","","","","","","","","","no","no","","100 %","€ 4.13","15.45 %","-","Sport e tempo libero","Fan Shop","Sport e tempo libero › Fan Shop","no","5463180202","","23","no"
"it","B002N5MK3K","7611773275910","https://m.media-amazon.com/images/I/31MrjTDx6VL.jpg;https://m.media-amazon.com/images/I/31MrjTDx6VL.jpg;https://m.media-amazon.com/images/I/61WXjNcd1hL.jpg;https://m.media-amazon.com/images/I/31GSl5OLq0L.jpg;https://m.media-amazon.com/images/I/51lSxsB1y1L.jpg;https://m.media-amazon.com/images/I/51Aa5aDbNpL.jpg","Cellular Hydralift Firming Mask","La Prairie","€ 144.00","€ 144.00","127951","-19 %","","1 %","yes","Amazon","132556","€ 144.00","€ 157.67","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 144.00","€ 111.06","no","yes","€ 186.99","4","Disponibilità immediata","€ 144.00","€ 144.00","99 %","0 %","€ 144.00","€ 157.64","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 144.00","€ 112.82","no","yes","€ 186.99","4","0","0","Amazon offer is in stock and shippable","","99 %","98 %","1","1","2","100 %","93 %","98 %","100 %","93 %","1","1","2","€ 144.00","€ 144.00","€ 144.00","€ 157.64","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 144.00","€ 111.06","no","yes","€ 216.04","0 %","€ 4.44","13.25 %","€ 19.08","Salute e cura della persona","Sonno e russamento, Maschere","Salute e cura della persona › Prodotti per la medicazione › Sonno e russamento","no","LAPRAIRIE-275910","1969","71","no"
"it","B009R7T04E","3342540095236","https://m.media-amazon.com/images/I/31qi8JzS-bL.jpg","FOOTCORD, Pedal regulable de cordino","PETZL","€ 32.45","€ 29.99","129037","-17 %","","25 %","no","3rd Party (A1JTB2R3QULPAM)","149176","€ 31.25","€ 28.41","-9 %","-8 %","-4 %","-8 %","€ -2.71","-9 %","€ 29.74","€ 18.99","no","no","€ 34.00","110","Disponibilità immediata","","","-","100 %","","€ 19.70","","","","","","","","€ 18.99","no","no","€ 43.50","","1","1","no Amazon offer exists","","29 %","-","4","1","10","7 %","32 %","63 %","14 %","32 %","2","5","5","€ 24.95","€ 24.95","€ 24.55","€ 24.09","0 %","0 %","0 %","-2 %","€ 0.00","0 %","€ 24.95","€ 18.99","no","no","€ 26.00","0 %","€ 3.90","15.43 %","€ 5.01","Sport e tempo libero","Arrampicata, Promo Sport invernali","Sport e tempo libero › Attività ricreative all'aperto › Arrampicata","no","C48A","765","40","no"
"it","B094Z555JX","3145891417609","https://m.media-amazon.com/images/I/41pLDTnrHYL.jpg;https://m.media-amazon.com/images/I/31-YgLjhUdL.jpg;https://m.media-amazon.com/images/I/41mT0nD9DrL.jpg","Le Lift Crème De Nuit 50 Gr","Chanel","€ 136.00","€ 140.56","100731","36 %","","5 %","yes","Amazon","87408","€ 137.20","€ 144.22","2 %","2 %","1 %","3 %","€ 0.00","0 %","€ 136.00","€ 108.80","no","no","€ 186.55","5","Disponibilità immediata","€ 136.00","€ 141.17","74 %","9 %","€ 136.10","€ 142.25","2 %","2 %","0 %","4 %","€ 0.00","0 %","€ 136.00","€ 111.75","no","no","€ 152.00","5","13","14","Amazon offer is in stock and shippable","","74 %","74 %","2","1","3","41 %","40 %","74 %","41 %","40 %","2","7","8","€ 136.00","€ 138.83","€ 138.52","€ 139.83","2 %","2 %","2 %","2 %","€ 0.00","0 %","€ 136.00","€ 108.80","no","no","€ 249.99","0 %","€ 4.13","15.45 %","€ 21.01","Bellezza","Creme","Bellezza › Cura della pelle › Viso › Idratanti › Trattamenti notte › Creme","no","E001-21P-016260","1320","50","no"
"it","B0D4WR14NY","3614274089349","https://m.media-amazon.com/images/I/51asQ-zS-tL.jpg;https://m.media-amazon.com/images/I/51B6m7qV4nL.jpg;https://m.media-amazon.com/images/I/71OqDiP30LL.jpg;https://m.media-amazon.com/images/I/51BH5Ov8LPL.jpg","Prada Luna Rossa Ocean Le Parfum 50 ml","Prada","€ 96.09","€ 97.22","","","","46 %","yes","Amazon","","€ 97.22","€ 97.22","0 %","0 %","1 %","1 %","€ 0.00","0 %","€ 96.09","€ 95.90","no","no","€ 106.29","","Disponibilità immediata","€ 96.09","€ 100.88","33 %","46 %","€ 100.88","€ 100.88","0 %","0 %","5 %","5 %","€ 0.00","0 %","€ 96.09","€ 95.90","no","no","€ 109.50","","1","1","Amazon offer is in stock and shippable","","55 %","33 %","4","1","3","33 %","33 %","55 %","55 %","55 %","4","4","4","€ 91.00","€ 96.72","€ 96.72","€ 96.72","1 %","2 %","6 %","6 %","€ 0.00","0 %","€ 91.00","€ 91.00","yes","yes","€ 103.00","21 %","€ 4.00","15.45 %","€ 14.85","Bellezza","Accessori per trucco occhi","Bellezza › Accessori e strumenti di bellezza › Strumenti e accessori per trucco › Accessori per trucco occhi","no","","","","yes"
"it","B0BF13F6KM","3346470304918","https://m.media-amazon.com/images/I/51LwyETnZuL.jpg","Guerlain HÉRITAGE EAU de Parfum Spray 100ml Occhiali, Multi-Coloured, Taglia Unica Donna","Guerlain","€ 102.19","€ 102.74","","","","5 %","no","3rd Party (A26M3ZI49MPCHM)","","€ 102.19","€ 105.50","0 %","0 %","0 %","1 %","€ 0.00","0 %","€ 102.19","€ 96.59","no","no","€ 133.79","35","Generalmente  spedito entro 3-4 giorni","","","-","100 %","","","","","","","","","","","no","no","","","1","1","no Amazon offer exists","","83 %","-","2","0","1","-","-","98 %","48 %","48 %","1","4","4","€ 99.20","€ 99.20","€ 98.76","€ 103.09","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 99.20","€ 92.48","no","no","€ 135.00","4 %","€ 4.23","10.84 %","€ 11.08","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","QOG-Gue-04918","24000","200","yes"
"it","B07XM8XFDV","3145891913101","https://m.media-amazon.com/images/I/415i3nWGttL.jpg","Chanel Mascara, Cha191310 Gr, Nero Intenso, 6 G","Chanel","€ 35.00","€ 47.10","149451","77 %","","28 %","yes","Amazon","90979","€ 44.73","€ 45.52","0 %","1 %","22 %","26 %","€ 0.00","0 %","€ 35.00","€ 32.40","no","yes","€ 59.56","5","Disponibilità immediata","€ 35.00","€ 46.43","65 %","29 %","€ 44.61","€ 45.22","0 %","1 %","22 %","25 %","€ 0.00","0 %","€ 35.00","€ 35.00","no","yes","€ 47.99","5","2","3","Amazon offer is in stock and shippable","","65 %","99 %","2","1","1","81 %","56 %","99 %","81 %","56 %","2","2","2","€ 35.00","€ 43.99","€ 46.06","€ 45.04","0 %","1 %","20 %","24 %","€ 0.00","0 %","€ 35.00","€ 26.50","no","yes","€ 75.70","0 %","€ 3.24","15.46 %","€ 5.41","Bellezza","Mascara","Bellezza › Trucco › Occhi › Mascara","no","8010036","1320","","no"
"it","B07JZHN1PP","8011003845361","https://m.media-amazon.com/images/I/61kXdr-Vb8L.jpg;https://m.media-amazon.com/images/I/41VQSV+ke9S.jpg;https://m.media-amazon.com/images/I/41PHSbtRtUS.jpg;https://m.media-amazon.com/images/I/51GfYbGpD6L.jpg","Versace Dopobarba - 100 ml","Versace","€ 57.00","€ 59.21","49525","2 %","","2 %","no","3rd Party (A25KS0KI52MDYS)","42945","€ 54.44","€ 60.09","0 %","0 %","-5 %","4 %","€ 0.00","0 %","€ 57.00","€ 34.99","no","no","€ 76.60","150","Disponibilità immediata","€ 57.01","€ 59.68","30 %","33 %","€ 56.46","€ 59.77","0 %","0 %","-1 %","4 %","€ 0.00","0 %","€ 57.01","€ 37.83","no","no","€ 65.40","","0","2","Amazon offer is back-ordered","","35 %","71 %","7","2","6","16 %","8 %","71 %","18 %","13 %","4","9","13","€ 57.00","€ 54.52","€ 59.13","€ 65.74","0 %","0 %","-5 %","4 %","€ 0.00","0 %","€ 57.00","€ 32.00","no","no","€ 139.00","0 %","€ 4.23","15.46 %","€ 8.81","Salute e cura della persona","Lozioni e fluidi, Rasatura","Salute e cura della persona › Rasatura, epilazione e rimozione peli › Trattamenti post rasatura o depilazione › Dopobarba › Lozioni e fluidi","no","8011003845361","1000","100","yes"
"it","B0078LYKRS","3145891361100, 0013639080206","https://m.media-amazon.com/images/I/61s7Aa6vpNL.jpg;https://m.media-amazon.com/images/I/71EUR3u3l7L.jpg","Chance Eau Fraiche Eau de Toilette 3 x 20 ml Spray Donna da borsetta Ricariche","Chanel","","€ 101.75","125013","-17 %","","81 %","no","","110532","","€ 107.46","","","","","","","","€ 62.20","no","no","€ 124.00","","","","€ 101.97","19 %","79 %","","€ 101.97","","","","","","","","€ 62.20","no","no","€ 131.21","","1","2","no Amazon offer exists","","19 %","-","1","0","1","10 %","14 %","-","10 %","14 %","","2","4","€ 117.30","€ 116.69","€ 111.19","€ 111.63","0 %","0 %","-1 %","-5 %","€ 0.00","0 %","€ 117.30","€ 62.20","no","no","€ 136.95","9 %","€ 4.00","15.45 %","-","Bellezza","Eau de Toilette","Bellezza › Fragranze e profumi › Donna › Eau de Toilette","no","P-3M-040-02","255","137","yes"
"it","B00LP6LNYA","5054596185943, 3605521954640","https://m.media-amazon.com/images/I/61nFDZvjwcL.jpg;https://m.media-amazon.com/images/I/71FT7cX0s5L.jpg;https://m.media-amazon.com/images/I/41dMdlDuqEL.jpg;https://m.media-amazon.com/images/I/41CPsXNayyL.jpg;https://m.media-amazon.com/images/I/31hP-Yu1M6L.jpg;https://m.media-amazon.com/images/I/21sxoCTPvlL.jpg;https://m.media-amazon.com/images/I/31Pbt2YHCfL.jpg;https://m.media-amazon.com/images/I/41Nb-VyNSNL.jpg;https://m.media-amazon.com/images/I/41tWJZveK4L.jpg","Helena Rubinstein Pure Ritual Care in Foam, Deep Cleansing Cremay Foam, Donna, 125 ml","Helena Rubinstein","€ 85.90","€ 86.20","132817","-18 %","","69 %","no","3rd Party (A3AXHWYLJUSEJP)","137067","€ 87.33","€ 85.18","0 %","1 %","2 %","0 %","€ 0.00","0 %","€ 85.90","€ 44.50","no","no","€ 90.93","1","Disponibilità immediata","","","-","100 %","","€ 78.93","","","","","","","","€ 50.98","no","no","€ 88.99","","1","1","no Amazon offer exists","","10 %","-","4","0","11","3 %","5 %","29 %","5 %","10 %","3","7","12","€ 80.00","€ 86.74","€ 86.83","€ 88.21","0 %","4 %","8 %","8 %","€ 0.00","0 %","€ 80.00","€ 39.00","no","no","€ 94.90","0 %","€ 4.13","15.45 %","€ 13.27","Bellezza","Gel detergenti, Struccanti, Creme viso e corpo","Bellezza › Cura della pelle › Viso › Detergenti ed esfolianti › Gel detergenti","no","C-HR-102-B2","528","","no"
