"Locale","ASIN","Product Codes: EAN","Image","Title","Brand","Buy Box 🚚: Current","Buy Box 🚚: 90 days avg.","Sales Rank: 90 days avg.","Sales Rank: 90 days drop %","Bought in past month","Buy Box 🚚: 90 days OOS","Buy Box: Is FBA","Buy Box Seller","Sales Rank: 30 days avg.","Buy Box 🚚: 30 days avg.","Buy Box 🚚: 180 days avg.","Buy Box 🚚: 1 day drop %","Buy Box 🚚: 7 days drop %","Buy Box 🚚: 30 days drop %","Buy Box 🚚: 90 days drop %","Buy Box 🚚: Price drop since last visit","Buy Box 🚚: Drop % since last visit","Buy Box 🚚: Last visit","Buy Box 🚚: Lowest","Buy Box 🚚: Is Lowest","Buy Box 🚚: Is Lowest 90 days","Buy Box 🚚: Highest","Buy Box 🚚: Stock","Buy Box 🚚: Availability of the Buy Box","Amazon: Current","Amazon: 90 days avg.","Buy Box: % Amazon 90 days","Amazon: 90 days OOS","Amazon: 30 days avg.","Amazon: 180 days avg.","Amazon: 1 day drop %","Amazon: 7 days drop %","Amazon: 30 days drop %","Amazon: 90 days drop %","Amazon: Price drop since last visit","Amazon: Drop % since last visit","Amazon: Last visit","Amazon: Lowest","Amazon: Is Lowest","Amazon: Is Lowest 90 days","Amazon: Highest","Amazon: Stock","Amazon: OOS Count 30 days","Amazon: OOS Count 90 days","Amazon: Availability of the Amazon offer","Amazon: Amazon offer shipping delay","Buy Box: % Top Seller 90 days","Buy Box: % Amazon 30 days","Buy Box: Winner Count 90 days","Count of retrieved live offers: New, FBA","Count of retrieved live offers: New, FBM","Buy Box: % Amazon 180 days","Buy Box: % Amazon 365 days","Buy Box: % Top Seller 30 days","Buy Box: % Top Seller 180 days","Buy Box: % Top Seller 365 days","Buy Box: Winner Count 30 days","Buy Box: Winner Count 180 days","Buy Box: Winner Count 365 days","New: Current","New: 30 days avg.","New: 90 days avg.","New: 180 days avg.","New: 1 day drop %","New: 7 days drop %","New: 30 days drop %","New: 90 days drop %","New: Price drop since last visit","New: Drop % since last visit","New: Last visit","New: Lowest","New: Is Lowest","New: Is Lowest 90 days","New: Highest","New: 90 days OOS","FBA Pick&Pack Fee","Referral Fee %","Referral Fee based on current Buy Box price","Categories: Root","Categories: Sub","Categories: Tree","Categories: Launchpad","Product Codes: PartNumber","Item: Dimension (cm³)","Item: Weight (g)","Is HazMat"
"it","B0B3V3VTFD","3145891440300","https://m.media-amazon.com/images/I/21yimtcwaKL.jpg;https://m.media-amazon.com/images/I/21yimtcwaKL.jpg","SUBLIMAGE le baume 50 gr","Chanel","€ 299.00","€ 305.46","","","","0 %","yes","3rd Party (A2NSNBQQV8PCZG)","","€ 299.00","€ 309.68","0 %","0 %","0 %","2 %","€ 0.00","0 %","€ 299.00","€ 257.31","no","yes","€ 364.51","3","Disponibilità immediata","","","-","100 %","","","","","","","","","","€ 257.31","no","no","€ 364.51","","1","1","no Amazon offer exists","","100 %","-","1","1","1","-","8 %","100 %","70 %","35 %","1","1","3","€ 299.00","€ 299.00","€ 305.46","€ 309.68","0 %","0 %","0 %","2 %","€ 0.00","0 %","€ 299.00","€ 252.95","no","yes","€ 503.29","0 %","€ 4.97","15.45 %","€ 46.20","Alimentari e cura della casa","Marinate, Arborist Merchandising Root","Alimentari e cura della casa › Salse e sughi › Sughi e salse per cucinare › Marinate","no","3145891440300","306000","490","no"
"it","B007QKT4NG","3605540563441","https://m.media-amazon.com/images/I/51+98q0hMAL.jpg","Lait De Douche 400 ml Latte Doccia","Biotherm","","","190653","-4 %","","100 %","no","","194762","","","","","","","","","","€ 13.78","no","no","€ 45.34","","","","","-","100 %","","","","","","","","","","€ 13.78","no","no","€ 41.16","","1","1","no Amazon offer exists","","-","-","","","","-","7 %","-","-","7 %","","","1","","€ 33.33","€ 33.33","€ 33.33","","","","","","","","€ 13.78","no","no","€ 54.99","3 %","€ 4.13","15.45 %","-","Bellezza","Bagnoschiuma, docciaschiuma e gel doccia","Bellezza › Bagno e corpo › Detergenti per il corpo › Bagnoschiuma, docciaschiuma e gel doccia","no","3605540563441","930","454","no"
"it","B072F67DZH","3342540818194","https://m.media-amazon.com/images/I/91IQwpz6SfL.jpg;https://m.media-amazon.com/images/I/91S80fYN91L.jpg;https://m.media-amazon.com/images/I/71Xg+BQfhRL.jpg;https://m.media-amazon.com/images/I/71Phg3mr3HL.jpg;https://m.media-amazon.com/images/I/71oQH6mzH-L.jpg","SIROCCO ULTRALIGERO CASCO NEGRO M/L","PETZL","","€ 99.61","65818","3 %","","59 %","no","","54063","","€ 98.05","","","","","","","","€ 78.99","no","no","€ 131.90","","","","€ 86.99","3 %","98 %","","€ 86.60","","","","","","","","€ 69.06","no","no","€ 124.99","","1","2","no Amazon offer exists","","36 %","-","3","0","1","2 %","34 %","-","36 %","34 %","","3","3","€ 115.00","€ 115.00","€ 107.64","€ 103.11","0 %","0 %","0 %","-7 %","€ 0.00","0 %","€ 115.00","€ 69.06","no","no","€ 131.05","0 %","€ 7.72","15.45 %","-","Sport e tempo libero","Caschi a 360°","Sport e tempo libero › Sport › Ciclismo › Caschi e accessori › Caschi a 360°","no","A073BA01","22559","170","no"
"it","B072C58SYL","3605522040946, 0887167223769","https://m.media-amazon.com/images/I/51J5eu5oMDL.jpg;https://m.media-amazon.com/images/I/61MN9B19kDL.jpg;https://m.media-amazon.com/images/I/617TVshAuVL.jpg;https://m.media-amazon.com/images/I/71sNRjvs81L.jpg;https://m.media-amazon.com/images/I/31Tq1ptda4L.jpg;https://m.media-amazon.com/images/I/31hZSydLf3L.jpg","Emporio Armani Because It’s You - Eau De Parfum, 30 ml","GIORGIO ARMANI","","€ 70.88","105924","-8 %","","1 %","no","","109336","€ 64.55","€ 67.53","","","","","","","€ 62.00","€ 35.50","no","no","€ 77.96","1","Disponibilità immediata","","","-","100 %","","€ 81.99","","","","","","","","€ 35.50","no","no","€ 87.90","","1","1","no Amazon offer exists","","79 %","-","4","0","4","-","-","55 %","43 %","21 %","3","5","6","€ 66.00","€ 64.42","€ 69.99","€ 65.63","-7 %","-6 %","-2 %","6 %","€ -4.00","-6 %","€ 62.00","€ 32.10","no","no","€ 81.00","0 %","€ 4.54","15.45 %","-","Bellezza","Eau de Parfum, Eau de Toilette disponibili","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","L56179","1321","99","yes"
"it","B0B4SST1GN","3614273544955","https://m.media-amazon.com/images/I/61VZRpH4PmL.jpg","PRADA Luna Rossa Sport 50 Vapo Occhiali, Oro Lucido, Taglia Unica Donna","Prada","€ 66.00","€ 66.02","","","","0 %","no","3rd Party (A1I6IDB2AL6EN0)","","€ 66.00","€ 66.02","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 66.00","€ 66.00","no","yes","€ 68.00","5","Disponibilità immediata","","","-","100 %","","","","","","","","","","","no","no","","","1","1","no Amazon offer exists","","99 %","-","2","0","3","-","-","99 %","99 %","99 %","2","2","2","€ 63.50","€ 63.50","€ 64.14","€ 65.07","0 %","0 %","0 %","1 %","€ 0.00","0 %","€ 63.50","€ 63.50","no","yes","€ 89.90","0 %","€ 4.54","15.45 %","€ 10.20","Moda","Occhiali da sole","Moda › Donna › Accessori › Occhiali e accessori › Occhiali da sole","no","QOG-Pra-44955","","48","yes"
"it","B0C64NGBNH","3614273874403","https://m.media-amazon.com/images/I/51UPNYBRzvL.jpg;https://m.media-amazon.com/images/I/51ydY5qkFzL.jpg;https://m.media-amazon.com/images/I/41BnWTgrsaL.jpg;https://m.media-amazon.com/images/I/411uZEmENvL.jpg","LUNA ROSSA OCEAN LOTE 2 pz","Prada","","€ 105.87","","","","42 %","no","","","","€ 105.87","","","","","","","","€ 84.53","no","no","€ 113.21","","","","","-","100 %","","","","","","","","","","€ 84.53","no","no","€ 113.21","","2","2","no Amazon offer exists","","59 %","-","1","","","-","14 %","-","29 %","14 %","","1","2","","","€ 105.87","€ 105.87","","","","","","","","€ 84.53","no","no","€ 158.22","42 %","€ 5.07","15.45 %","-","Cancelleria e prodotti per ufficio","Aprilettere","Cancelleria e prodotti per ufficio › Buste e materiali per spedizioni › Aprilettere","no","QOG-Pra-74403","70000","","yes"
"it","B07HHK3JYP","0888066077446","https://m.media-amazon.com/images/I/51DJgHrbtqL.jpg","Tom Ford Spray Corpo - 150 Ml","Tom Ford","€ 45.29","€ 47.09","73931","48 %","","0 %","no","3rd Party (A26M3ZI49MPCHM)","77173","€ 46.65","€ 47.74","0 %","2 %","3 %","4 %","€ 0.00","0 %","€ 45.29","€ 31.65","no","yes","€ 96.03","3","Generalmente  spedito entro 4-5 giorni","€ 49.62","€ 47.62","87 %","0 %","€ 48.25","€ 47.90","0 %","0 %","-3 %","-4 %","€ 0.00","0 %","€ 49.62","€ 31.50","no","no","€ 55.00","","0","0","Amazon offer is back-ordered","","87 %","61 %","2","1","1","77 %","58 %","61 %","77 %","58 %","2","4","7","€ 42.30","€ 43.00","€ 45.87","€ 46.26","0 %","0 %","2 %","8 %","€ 0.00","0 %","€ 42.30","€ 31.50","no","yes","€ 88.03","0 %","€ 4.54","15.46 %","€ 7.00","Bellezza","Deodorante","Bellezza › Bagno e corpo › Deodoranti e antitraspiranti › Deodorante","no","031736","1320","","yes"
"it","B07BYW4S2N","3348901387330","https://m.media-amazon.com/images/I/41oQHfJnpkL.jpg","Dior Jadore Precious Body Mist Vapo, 100 ml","Dior","","€ 51.51","44691","-65 %","","20 %","no","","56288","€ 58.34","€ 55.43","","","","","","","","€ 23.65","no","no","€ 89.99","","","","€ 49.49","58 %","39 %","","€ 50.00","","","","","","","","€ 23.65","no","no","€ 58.00","","1","1","no Amazon offer exists","","58 %","-","3","","","31 %","15 %","30 %","31 %","25 %","2","8","12","€ 58.20","€ 55.74","€ 51.79","€ 54.62","0 %","0 %","-4 %","-12 %","€ 0.00","0 %","€ 58.20","€ 23.65","no","no","€ 87.08","0 %","€ 4.54","15.45 %","-","Bellezza","Estratto di profumo, Corpo","Bellezza › Fragranze e profumi › Donna › Estratto di profumo","no","3348901387330","1320","96","yes"
"it","B075BLC569","3145891204254","https://m.media-amazon.com/images/I/31qtQ5aPADL.jpg;https://m.media-amazon.com/images/I/31ihf7c+aKL.jpg","Chanel Gabrielle Edp Vapo 50 Ml 1 Unidad 50 ml","Chanel","€ 135.00","€ 131.09","69840","47 %","","47 %","no","3rd Party (A2V9MANIN13E4V)","76448","€ 135.18","€ 122.09","0 %","0 %","0 %","-3 %","€ 0.00","0 %","€ 135.00","€ 74.99","no","no","€ 140.00","","Disponibilità immediata","","€ 124.26","8 %","86 %","","€ 121.17","","","","","","","","€ 74.99","no","no","€ 154.09","","1","1","no Amazon offer exists","","40 %","-","4","0","6","20 %","52 %","54 %","28 %","52 %","1","4","5","€ 130.00","€ 129.97","€ 128.42","€ 122.52","0 %","0 %","0 %","-1 %","€ 0.00","0 %","€ 130.00","€ 34.71","no","no","€ 130.90","0 %","€ 4.00","15.45 %","€ 20.86","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","3145891204254","233","50","yes"
"it","B00CB8BL5W","3145891169652, 0115371802037","https://m.media-amazon.com/images/I/41IueKZSs3L.jpg;https://m.media-amazon.com/images/I/31qagChwCwL.jpg;https://m.media-amazon.com/images/I/415WZH857YL.jpg","Coco Mademoiselle Gel Moussant - 200 Ml","Chanel","","€ 60.08","112258","-36 %","","90 %","no","","145892","","€ 68.56","","","","","","","","€ 41.00","no","no","€ 79.00","","","","€ 56.70","-","99 %","","€ 58.94","","","","","","","","€ 41.00","no","no","€ 71.46","","1","2","no Amazon offer exists","","7 %","-","5","0","1","-","1 %","-","21 %","11 %","","6","7","€ 71.00","€ 69.61","€ 64.76","€ 63.98","0 %","0 %","-2 %","-10 %","€ 0.00","0 %","€ 71.00","€ 37.40","no","no","€ 109.00","0 %","€ 3.90","15.45 %","-","Bellezza","Bagnoschiuma, docciaschiuma e gel doccia","Bellezza › Bagno e corpo › Detergenti per il corpo › Bagnoschiuma, docciaschiuma e gel doccia","no","11C7701","462","200","no"
"it","B07CHK6GDY","3346470415775","https://m.media-amazon.com/images/I/41CFQxnKglL.jpg;https://m.media-amazon.com/images/I/41a+mP6r-RL.jpg;https://m.media-amazon.com/images/I/51E9aWGIXCL.jpg;https://m.media-amazon.com/images/I/51sDmM5lrjL.jpg;https://m.media-amazon.com/images/I/41zaggcu9lL.jpg","Les Voilettes Poudre Libre Light 20 Gr","Guerlain","€ 47.63","€ 50.19","153735","-15 %","","1 %","no","3rd Party (A26M3ZI49MPCHM)","136484","€ 49.66","€ 49.11","0 %","2 %","4 %","5 %","€ 0.00","0 %","€ 47.63","€ 28.60","no","yes","€ 55.80","","Generalmente  spedito entro 2-3 giorni","€ 47.64","€ 50.26","62 %","0 %","€ 49.87","€ 49.15","0 %","3 %","4 %","5 %","€ 0.00","0 %","€ 47.64","€ 36.13","no","yes","€ 55.80","","0","0","Amazon offer is back-ordered","","62 %","-","4","","","81 %","88 %","82 %","81 %","88 %","2","5","5","€ 44.64","€ 46.59","€ 46.66","€ 45.79","0 %","2 %","4 %","4 %","€ 0.00","0 %","€ 44.64","€ 24.70","no","no","€ 55.80","0 %","€ 4.13","15.45 %","€ 7.36","Bellezza","Cipria","Bellezza › Trucco › Viso › Cipria","no","3346470415775","648","110","no"
"it","B00BHRG23E","8411061994412","https://m.media-amazon.com/images/I/3166g7xPgCL.jpg;https://m.media-amazon.com/images/I/3166g7xPgCL.jpg","Bad Boy Lote 3 Pz","Carolina Herrera","","","","","","100 %","no","","","","","","","","","","","","€ 51.82","no","no","€ 116.99","","","","","-","100 %","","","","","","","","","","€ 51.82","no","no","€ 105.27","","1","1","no Amazon offer exists","","-","-","","","","-","-","-","-","1 %","","","1","","","","","","","","","","","","€ 51.82","no","no","€ 107.00","100 %","€ 5.69","15.45 %","-","Bellezza","Set","Bellezza › Fragranze e profumi › Uomo › Set","no","8411061994412","4655","1","yes"
"it","B07MVK97G3","3348901450270","https://m.media-amazon.com/images/I/51x7C4hddxL.jpg","Christian Dior Capture Youth Intense Rescue Age-Delay Olio-Siero Rivitalizzante Anti-Età, 30 ml","Dior","","€ 83.89","93183","29 %","","10 %","no","","94498","€ 79.62","€ 84.93","","","","","","","","€ 60.47","no","no","€ 101.44","","","","€ 83.89","90 %","10 %","€ 79.62","€ 84.93","","","","","","","","€ 60.47","no","no","€ 97.60","","6","6","no Amazon offer exists","","90 %","71 %","1","0","4","93 %","59 %","71 %","93 %","59 %","1","3","6","€ 101.00","€ 85.77","€ 85.54","€ 85.21","0 %","-14 %","-18 %","-18 %","€ 0.00","0 %","€ 101.00","€ 41.95","no","no","€ 101.00","0 %","€ 3.90","15.45 %","-","Bellezza","Sieri e liquidi","Bellezza › Cura della pelle › Viso › Idratanti › Sieri e liquidi","no","3348901450270","1320","","no"
"it","B099K5GSQV","8426017070119","https://m.media-amazon.com/images/I/51MU-fXGi5L.jpg;https://m.media-amazon.com/images/I/41XAphdea9L.jpg","Loewe Pour Homme Et 100 Vp","Loewe","€ 96.51","€ 96.17","255540","-3 %","","1 %","yes","Amazon","260770","€ 97.67","€ 95.24","0 %","1 %","1 %","0 %","€ 0.00","0 %","€ 96.51","€ 33.65","no","no","€ 103.05","5","Disponibilità immediata","€ 96.51","€ 96.25","91 %","0 %","€ 97.90","€ 95.57","0 %","1 %","1 %","0 %","€ 0.00","0 %","€ 96.51","€ 33.65","no","no","€ 103.05","5","0","0","Amazon offer is in stock and shippable","","91 %","93 %","3","1","1","61 %","49 %","93 %","61 %","49 %","2","3","3","€ 91.60","€ 91.60","€ 93.26","€ 98.43","0 %","0 %","0 %","2 %","€ 0.00","0 %","€ 91.60","€ 33.65","no","no","€ 132.14","0 %","€ 4.00","15.45 %","€ 14.91","Bellezza","Eau de Toilette","Bellezza › Fragranze e profumi › Uomo › Eau de Toilette","no","QOG-Loe-70119","894","310","yes"
"it","B00RBQUCEU","3614270274671","https://m.media-amazon.com/images/I/51qCAJvPmRL.jpg;https://m.media-amazon.com/images/I/612yqeUa6NL.jpg;https://m.media-amazon.com/images/I/81et9O5482L.jpg;https://m.media-amazon.com/images/I/81Jaw-cwSxL.jpg;https://m.media-amazon.com/images/I/815UWf2sxVL.jpg","BIOTHERM L'Eau, Acqua Profumata e Rivitalizzante per il Corpo, Profuma e Rinfresca, Fragranza Agrumata, Arricchita con Oli Essenziali agli Agrumi, 100 ml","Biotherm","€ 37.93","€ 41.22","54942","22 %","","28 %","yes","Amazon","47523","€ 39.42","€ 42.44","0 %","3 %","4 %","8 %","€ 0.00","0 %","€ 37.93","€ 19.80","no","no","€ 56.94","5","Disponibilità immediata","€ 37.93","€ 41.79","7 %","89 %","€ 37.93","€ 41.79","0 %","0 %","0 %","9 %","€ 0.00","0 %","€ 37.93","€ 19.80","no","yes","€ 52.99","5","2","3","Amazon offer is in stock and shippable","","47 %","22 %","4","1","0","4 %","23 %","26 %","62 %","41 %","4","5","9","€ 37.93","€ 37.03","€ 38.28","€ 40.40","0 %","-3 %","-2 %","1 %","€ 0.00","0 %","€ 37.93","€ 19.80","no","no","€ 44.44","0 %","€ 4.23","15.45 %","€ 5.86","Bellezza","Lozioni e balsami per il corpo, Biotherm","Bellezza › Cura della pelle › Corpo › Idratanti › Lozioni e balsami per il corpo","no","3614270274671","1","200","yes"
"it","B0186JHARW","3145891052305","https://m.media-amazon.com/images/I/518pjqvLCmL.jpg;https://m.media-amazon.com/images/I/71xJUnrAGgL.jpg;https://m.media-amazon.com/images/I/71T6GXtDILL.jpg","Nº5 EAU PREMIERE edp","Chanel","€ 98.70","€ 103.93","22497","-110 %","","11 %","no","3rd Party (A2CMOB9SUA2SF6)","21728","€ 106.06","€ 103.53","0 %","10 %","7 %","5 %","","","","€ 65.36","no","no","€ 166.00","","Generalmente  spedito entro 6-7 giorni","","","-","100 %","","€ 92.01","","","","","","","","€ 65.36","no","no","€ 113.31","","1","1","no Amazon offer exists","","47 %","-","4","0","1","-","-","51 %","51 %","25 %","4","5","6","€ 92.00","€ 111.14","€ 104.24","€ 103.37","34 %","27 %","17 %","12 %","€ 48.80","35 %","€ 140.80","€ 65.36","no","yes","€ 160.00","2 %","€ 4.00","15.45 %","€ 15.25","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","3145891052305","155100","100","yes"
"it","B0BZD7PTMS","3614273790833","https://m.media-amazon.com/images/I/71PMJAJqUIL.jpg;https://m.media-amazon.com/images/I/518dCpOFHTL.jpg;https://m.media-amazon.com/images/I/615imhyscZL.jpg;https://m.media-amazon.com/images/I/61gORFXr-qL.jpg","Valentino Uomo Born in Roma Eau de Parfum Intense, spray - Profumo uomo","Valentino","€ 70.70","€ 70.60","85315","","","9 %","yes","Amazon","53025","€ 71.13","€ 75.80","-6 %","-6 %","1 %","0 %","€ 0.00","0 %","€ 70.70","€ 63.00","no","no","€ 139.45","","Generalmente  spedito entro 3-7 mesi","€ 70.70","€ 69.00","57 %","8 %","€ 68.65","€ 70.43","-6 %","-6 %","-3 %","-2 %","€ 0.00","0 %","€ 70.70","€ 63.00","no","no","€ 139.45","","0","1","Amazon offer is back-ordered","","57 %","67 %","3","3","3","29 %","29 %","67 %","43 %","32 %","3","6","11","€ 70.70","€ 68.65","€ 69.25","€ 75.57","-6 %","-6 %","-3 %","-2 %","€ 0.00","0 %","€ 70.70","€ 63.00","no","no","€ 123.16","0 %","€ 4.23","15.45 %","€ 10.92","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Uomo › Eau de Parfum","no","3614273790833","70000","150","yes"
"it","B07YDGWWPL","3614272761469","https://m.media-amazon.com/images/I/71w9oj9Wp-L.jpg;https://m.media-amazon.com/images/I/71Z7NZHSx4L.jpg;https://m.media-amazon.com/images/I/71g0R3ahHiL.jpg;https://m.media-amazon.com/images/I/71L4Bd8tzBL.jpg","Valentino Born in Rome for Men - 100 ml (confezione da 1)","Valentino","€ 78.99","€ 79.05","46914","68 %","","1 %","yes","Amazon","29357","€ 79.11","€ 81.34","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 78.99","€ 50.99","no","no","€ 95.05","5","Disponibilità immediata","€ 78.99","€ 79.05","97 %","0 %","€ 79.11","€ 81.17","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 78.99","€ 50.99","no","no","€ 93.20","5","0","0","Amazon offer is in stock and shippable","","97 %","91 %","3","1","10","67 %","58 %","91 %","67 %","58 %","2","7","9","€ 78.99","€ 78.96","€ 79.00","€ 83.02","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 78.99","€ 50.99","no","no","€ 97.50","0 %","€ 4.23","15.44 %","€ 12.20","Bellezza","Eau de Parfum, I prodotti più amati dai nostri clienti: Bellezza, Essenziali per la quotidianità: Bellezza","Bellezza › Fragranze e profumi › Uomo › Eau de Parfum","no","3614272761469","576","96","yes"
"it","B00BH4LKDY","3145891235500","https://m.media-amazon.com/images/I/51dxqnMZXFL.jpg;https://m.media-amazon.com/images/I/41+j3PEL0TL.jpg","Chanel ALLURE HOMME SPORT eau extrême spray 50 ml","Chanel","","€ 143.75","422243","-2 %","","37 %","no","","429502","€ 145.63","€ 144.02","","","","","","","","€ 99.50","no","no","€ 148.68","","","","","-","100 %","","","","","","","","","","","no","no","","","1","1","no Amazon offer exists","","40 %","-","3","","","-","-","60 %","43 %","62 %","3","3","3","","€ 140.76","€ 139.70","€ 141.76","","","","","","","","€ 93.00","no","no","€ 200.52","22 %","€ 4.23","15.45 %","-","Giochi e giocattoli","Beauty Case","Giochi e giocattoli › Giochi d'imitazione e accessori di travestimento › Beauty Case","no","71427-M2317073","","48","yes"
"it","B0B3Y28N87","3614273760164","https://m.media-amazon.com/images/I/31M+HLLjtoL.jpg;https://m.media-amazon.com/images/I/51hXh6YzZML.jpg","Prada Paradoxe edp rechargeable 90 ml","Prada","€ 113.90","€ 107.82","22553","57 %","","5 %","yes","3rd Party (A1T6CPNRVZ3UQA)","15449","€ 115.24","€ 113.59","1 %","1 %","1 %","-6 %","€ 0.00","0 %","€ 113.90","€ 94.45","no","no","€ 165.00","10","Disponibilità immediata","€ 114.00","€ 104.26","56 %","39 %","€ 114.00","€ 112.33","0 %","0 %","0 %","-9 %","€ 0.00","0 %","€ 114.00","€ 94.45","no","no","€ 145.45","","1","2","Amazon offer is back-ordered","","56 %","-","6","3","8","36 %","27 %","28 %","36 %","28 %","5","9","14","€ 113.90","€ 114.91","€ 107.85","€ 113.41","0 %","0 %","1 %","-6 %","€ 0.00","0 %","€ 113.90","€ 94.45","no","no","€ 159.00","0 %","€ 4.23","15.45 %","€ 17.60","Bellezza","Eau de Parfum, Essenziali per la quotidianità: Bellezza","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","3614273760164","209","85","yes"
"it","B0011ZISHU","","https://m.media-amazon.com/images/I/81VzAFgUJbL.jpg;https://m.media-amazon.com/images/I/81j-NuzPfuL.jpg;https://m.media-amazon.com/images/I/81vNMX-73mL.jpg","Chance Eau De Parfum Spray 1,7 Oz","Chanel","","","","","","-","no","","","","","","","","","","","","","no","no","","","","","","-","100 %","","","","","","","","","","","no","no","","","1","1","no Amazon offer exists","","-","-","","","","-","-","-","-","-","","","","","","","","","","","","","","","","no","no","","100 %","€ 4.54","15.45 %","-","Bellezza","Eau de Parfum","Bellezza › Fragranze e profumi › Donna › Eau de Parfum","no","1","","48","yes"
"it","B09SWS4CJZ","3614273672122","https://m.media-amazon.com/images/I/71NvbfVJsBL.jpg;https://m.media-amazon.com/images/I/71W4txHPwFL.jpg;https://m.media-amazon.com/images/I/710DrVCRk1L.jpg;https://m.media-amazon.com/images/I/71DRnQJEVZL.jpg","Valentino Born In Roma Uomo Coral Fantasy eau de toilette - 50 Ml","Valentino","€ 62.00","€ 63.30","31857","47 %","","1 %","no","3rd Party (AMFLO62Y612UA)","33031","€ 63.06","€ 63.55","0 %","0 %","2 %","2 %","€ 0.00","0 %","€ 62.00","€ 55.24","no","yes","€ 80.00","91","Disponibilità immediata","€ 63.00","€ 62.99","54 %","0 %","€ 63.00","€ 63.21","0 %","0 %","0 %","0 %","€ 0.00","0 %","€ 63.00","€ 55.24","no","no","€ 84.90","","0","1","Amazon offer is back-ordered","","54 %","20 %","4","1","8","52 %","55 %","35 %","52 %","55 %","4","4","9","€ 52.00","€ 58.94","€ 60.56","€ 62.88","0 %","0 %","12 %","14 %","€ 0.00","0 %","€ 52.00","€ 51.80","no","yes","€ 74.62","0 %","€ 4.23","15.44 %","€ 9.57","Bellezza","Eau de Toilette","Bellezza › Fragranze e profumi › Uomo › Eau de Toilette","no","TT3614273672122","141","48","yes"
"it","B0011ZIXKW","","https://m.media-amazon.com/images/I/81xWP2diUTL.jpg","CHANEL Egoiste Platinum EDT Spray 3.4 Oz#","Chanel","","","","","","-","no","","","","","","","","","","","","","no","no","","","","","","-","100 %","","","","","","","","","","","no","no","","","1","1","no Amazon offer exists","","-","-","","","","-","-","-","-","-","","","","","","","","","","","","","","","","no","no","","100 %","€ 4.54","15.45 %","-","Bellezza","Eau de Toilette","Bellezza › Fragranze e profumi › Uomo › Eau de Toilette","no","","","96","yes"
"it","B07J2RKJ42","3145891235807","https://m.media-amazon.com/images/I/51phZ+QEc7L.jpg;https://m.media-amazon.com/images/I/41cnTsAWxZL.jpg;https://m.media-amazon.com/images/I/51qgZ65QAtL.jpg;https://m.media-amazon.com/images/I/71-nMiYniCL.jpg","Chanel Allure Homme Sport, Eau de Toilette, 150 ml / 5 fl oz","Chanel","","€ 172.26","58064","-39 %","","50 %","no","","55329","","€ 179.29","","","","","","","","€ 114.56","no","no","€ 269.56","","","","€ 163.45","10 %","88 %","","€ 173.05","","","","","","","","€ 116.79","no","no","€ 389.97","","1","12","no Amazon offer exists","","41 %","-","2","0","3","6 %","6 %","-","49 %","46 %","","4","6","€ 180.00","€ 180.65","€ 176.10","€ 179.76","0 %","0 %","0 %","-2 %","€ 0.00","0 %","€ 180.00","€ 109.57","no","no","€ 325.31","0 %","€ 4.23","15.45 %","-","Bellezza","Eau de Toilette","Bellezza › Fragranze e profumi › Uomo › Eau de Toilette","no","CNLPFM042","600","100","yes"
"it","B00ZRPN1EA","8447233266537, 0601000535655, 0102244051654, 0885204259702, 0885173718606, 0885112991145, 8851722297665, 0940356524648, 0070070239365, 7426956423411, 0885174930601, 0885173751795, 0783320472503, 0885310008454, 0783320901720, 0604366064432, 0881722289436, 0885442814213, 0885379837378","https://m.media-amazon.com/images/I/51XNESeJFLL.jpg;https://m.media-amazon.com/images/I/51wBnK5p7yL.jpg","Bvlgari Acqua di Colonia, Au The Blanc Edc Vapo, 75 ml","BVLGARI","€ 95.00","€ 103.05","50770","-46 %","","4 %","yes","3rd Party (A344B2ZRXYSRUN)","55085","€ 108.27","€ 102.31","15 %","19 %","12 %","8 %","€ 0.00","0 %","€ 95.00","€ 49.21","no","no","€ 136.00","","Attualmente non disponibile. Stiamo lavorando intensamente per rendere questo prodotto nuovamente disponibile il prima possibile. Completa l’ordine e ti invieremo una email con la data di consegna non appena sarà disponibile.","","","-","100 %","","","","","","","","","","€ 49.21","no","no","€ 108.99","","1","1","no Amazon offer exists","","37 %","-","10","","","-","-","33 %","19 %","13 %","7","14","15","€ 95.00","€ 104.73","€ 101.61","€ 101.71","0 %","6 %","9 %","7 %","€ 0.00","0 %","€ 95.00","€ 36.98","no","no","€ 151.86","0 %","€ 5.07","15.45 %","€ 14.68","Bellezza","Acqua di Colonia","Bellezza › Fragranze e profumi › Donna › Acqua di Colonia","no","0783320472503","80","75","yes"
